"","x"
"421","CBGB.US BROMUS INERMIS"
"422","CBGB.US BROMUS INERMIS"
"423","CBGB.US POA PRATENSIS"
"424","CBGB.US POA PRATENSIS"
"425","CBGB.US POA PRATENSIS"
"426","CBGB.US POA PRATENSIS"
"427","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"428","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"429","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"430","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"431","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"432","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"433","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"434","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"435","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"436","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"437","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"438","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"439","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"440","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"441","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"442","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"443","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"444","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"445","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"446","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"447","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"448","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"449","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"450","CBGB.US SCHIZACHYRIUM SCOPARIUM"
"451","CBGB.US SORGHASTRUM NUTANS"
"452","COMP.PT ANDRYALA INTEGRIFOLIA"
"453","COMP.PT ANDRYALA INTEGRIFOLIA"
"454","COMP.PT ANDRYALA INTEGRIFOLIA"
"455","COMP.PT ANDRYALA INTEGRIFOLIA"
"456","COMP.PT CLADANTHUS MIXTUS"
"457","COMP.PT CLADANTHUS MIXTUS"
"458","COMP.PT CLADANTHUS MIXTUS"
"459","COMP.PT CLADANTHUS MIXTUS"
"460","COMP.PT COLEOSTEPHUS MYCONIS"
"461","COMP.PT COLEOSTEPHUS MYCONIS"
"462","COMP.PT COLEOSTEPHUS MYCONIS"
"463","COMP.PT COLEOSTEPHUS MYCONIS"
"464","COMP.PT COLEOSTEPHUS MYCONIS"
"465","COMP.PT COLEOSTEPHUS MYCONIS"
"466","COMP.PT CREPIS CAPILLARIS"
"467","COMP.PT TOLPIS BARBATA"
"468","COMP.PT TOLPIS BARBATA"
"469","COMP.PT TOLPIS BARBATA"
"470","COMP.PT TOLPIS BARBATA"
"471","COMP.PT TOLPIS BARBATA"
"472","COMP.PT TOLPIS BARBATA"
"473","COMP.PT TOLPIS BARBATA"
"474","COMP.PT TOLPIS BARBATA"
"475","COMP.PT TOLPIS BARBATA"
"476","COMP.PT TOLPIS BARBATA"
"477","COMP.PT TOLPIS BARBATA"
"478","COMP.PT TOLPIS BARBATA"
"479","COMP.PT TOLPIS BARBATA"
"480","COMP.PT TOLPIS BARBATA"
"481","COMP.PT TOLPIS BARBATA"
"482","COMP.PT TOLPIS BARBATA"
"483","COMP.PT TOLPIS BARBATA"
"484","COMP.PT TOLPIS BARBATA"
"485","COMP.PT SILENE GALLICA"
"486","COMP.PT TUBERARIA GUTTATA"
"487","COMP.PT TUBERARIA GUTTATA"
"488","COMP.PT TUBERARIA GUTTATA"
"489","COMP.PT TUBERARIA GUTTATA"
"490","COMP.PT TUBERARIA GUTTATA"
"491","COMP.PT TUBERARIA GUTTATA"
"492","COMP.PT TUBERARIA GUTTATA"
"493","COMP.PT TUBERARIA GUTTATA"
"494","COMP.PT TUBERARIA GUTTATA"
"495","COMP.PT TUBERARIA GUTTATA"
"496","COMP.PT LATHYRUS ANGULATUS"
"497","COMP.PT LATHYRUS ANGULATUS"
"498","COMP.PT ORNITHOPUS COMPRESSUS"
"499","COMP.PT ORNITHOPUS COMPRESSUS"
"500","COMP.PT ORNITHOPUS COMPRESSUS"
"501","COMP.PT ORNITHOPUS COMPRESSUS"
"502","COMP.PT ORNITHOPUS COMPRESSUS"
"503","COMP.PT ORNITHOPUS COMPRESSUS"
"504","COMP.PT ORNITHOPUS COMPRESSUS"
"505","COMP.PT ORNITHOPUS COMPRESSUS"
"506","COMP.PT ORNITHOPUS COMPRESSUS"
"507","COMP.PT ORNITHOPUS COMPRESSUS"
"508","COMP.PT ORNITHOPUS COMPRESSUS"
"509","COMP.PT ORNITHOPUS COMPRESSUS"
"510","COMP.PT ORNITHOPUS COMPRESSUS"
"511","COMP.PT ORNITHOPUS COMPRESSUS"
"512","COMP.PT ORNITHOPUS PINNATUS"
"513","COMP.PT TRIFOLIUM ARVENSE"
"514","COMP.PT TRIFOLIUM ARVENSE"
"515","COMP.PT TRIFOLIUM ARVENSE"
"516","COMP.PT TRIFOLIUM ARVENSE"
"517","COMP.PT TRIFOLIUM ARVENSE"
"518","COMP.PT TRIFOLIUM CAMPESTRE"
"519","COMP.PT TRIFOLIUM CAMPESTRE"
"520","COMP.PT TRIFOLIUM LIGUSTICUM"
"521","COMP.PT ERODIUM SP."
"522","COMP.PT BARTSIA TRIXAGO"
"523","COMP.PT BARTSIA TRIXAGO"
"524","COMP.PT BARTSIA TRIXAGO"
"525","COMP.PT BARTSIA TRIXAGO"
"526","COMP.PT PLANTAGO BELLARDII"
"527","COMP.PT PLANTAGO BELLARDII"
